   0.4807600E+01  0.7591020E+00 -0.1207090E+00
   0.4857575E+01  0.7709791E+00 -0.1307833E+00
   0.4907550E+01  0.7828766E+00 -0.1416854E+00
   0.4957525E+01  0.7947673E+00 -0.1534730E+00
   0.5007500E+01  0.8066130E+00 -0.1662054E+00
   0.5057475E+01  0.8183632E+00 -0.1799405E+00
   0.5107450E+01  0.8299543E+00 -0.1947303E+00
   0.5157425E+01  0.8413103E+00 -0.2106147E+00
   0.5207400E+01  0.8523460E+00 -0.2276133E+00
   0.5257375E+01  0.8629730E+00 -0.2457177E+00
   0.5307350E+01  0.8731072E+00 -0.2648845E+00
   0.5357325E+01  0.8826751E+00 -0.2850290E+00
   0.5407300E+01  0.8916136E+00 -0.3060212E+00
   0.5457275E+01  0.8998586E+00 -0.3276776E+00
   0.5507250E+01  0.9073243E+00 -0.3497518E+00
   0.5557225E+01  0.9138863E+00 -0.3719241E+00
   0.5607200E+01  0.9193940E+00 -0.3938066E+00
   0.5657175E+01  0.9237280E+00 -0.4149776E+00
   0.5707150E+01  0.9268787E+00 -0.4350556E+00
   0.5757125E+01  0.9289772E+00 -0.4537870E+00
   0.5807100E+01  0.9302456E+00 -0.4710930E+00
   0.5857075E+01  0.9309152E+00 -0.4870374E+00
   0.5907050E+01  0.9311812E+00 -0.5017642E+00
   0.5957025E+01  0.9311888E+00 -0.5154457E+00
   0.6007000E+01  0.9310367E+00 -0.5282499E+00
   0.6056975E+01  0.9307890E+00 -0.5403247E+00
   0.6106950E+01  0.9304870E+00 -0.5517938E+00
   0.6156925E+01  0.9301567E+00 -0.5627588E+00
   0.6206900E+01  0.9298149E+00 -0.5733024E+00
   0.6256875E+01  0.9294719E+00 -0.5834915E+00
   0.6306850E+01  0.9291343E+00 -0.5933809E+00
   0.6356825E+01  0.9288060E+00 -0.6030152E+00
   0.6406800E+01  0.9284893E+00 -0.6124312E+00
   0.6456775E+01  0.9281852E+00 -0.6216593E+00
   0.6506750E+01  0.9278943E+00 -0.6307250E+00
   0.6556725E+01  0.9276164E+00 -0.6396495E+00
   0.6606700E+01  0.9273512E+00 -0.6484507E+00
   0.6656675E+01  0.9270981E+00 -0.6571439E+00
   0.6706650E+01  0.9268564E+00 -0.6657420E+00
   0.6756625E+01  0.9265773E+00 -0.6741624E+00
   0.6806600E+01  0.9264045E+00 -0.6827393E+00
   0.6856575E+01  0.9261601E+00 -0.6910752E+00
   0.6906550E+01  0.9259784E+00 -0.6994308E+00
   0.6956525E+01  0.9258271E+00 -0.7076380E+00
   0.7006500E+01  0.9256145E+00 -0.7158492E+00
   0.7056475E+01  0.9254248E+00 -0.7240110E+00
   0.7106450E+01  0.9252557E+00 -0.7321682E+00
   0.7156425E+01  0.9250671E+00 -0.7402548E+00
   0.7206400E+01  0.9249049E+00 -0.7483369E+00
   0.7256375E+01  0.9247504E+00 -0.7563746E+00
   0.7306350E+01  0.9245715E+00 -0.7643871E+00
   0.7356325E+01  0.9243427E+00 -0.7724209E+00
   0.7406300E+01  0.9242998E+00 -0.7803465E+00
   0.7456275E+01  0.9241833E+00 -0.7883243E+00
   0.7506250E+01  0.9239986E+00 -0.7961917E+00
   0.7556225E+01  0.9238425E+00 -0.8041491E+00
   0.7606200E+01  0.9237129E+00 -0.8120480E+00
   0.7656175E+01  0.9235659E+00 -0.8199411E+00
   0.7706150E+01  0.9234430E+00 -0.8278198E+00
   0.7756125E+01  0.9233049E+00 -0.8356877E+00
   0.7806100E+01  0.9231731E+00 -0.8435434E+00
   0.7856075E+01  0.9230443E+00 -0.8513911E+00
   0.7906050E+01  0.9229198E+00 -0.8592319E+00
   0.7956025E+01  0.9227939E+00 -0.8670627E+00
   0.8006000E+01  0.9226724E+00 -0.8748889E+00
   0.8055975E+01  0.9225530E+00 -0.8827086E+00
   0.8105950E+01  0.9224344E+00 -0.8905240E+00
   0.8155925E+01  0.9223185E+00 -0.8983356E+00
   0.8205900E+01  0.9222041E+00 -0.9061432E+00
   0.8255875E+01  0.9220918E+00 -0.9139480E+00
   0.8305850E+01  0.9219815E+00 -0.9217505E+00
   0.8355825E+01  0.9218730E+00 -0.9295510E+00
   0.8405800E+01  0.9217660E+00 -0.9373500E+00
   0.8455775E+01  0.9216607E+00 -0.9451480E+00
   0.8505750E+01  0.9215571E+00 -0.9529453E+00
   0.8555725E+01  0.9214549E+00 -0.9607423E+00
   0.8605700E+01  0.9213540E+00 -0.9685394E+00
   0.8655675E+01  0.9212543E+00 -0.9763368E+00
   0.8705650E+01  0.9211557E+00 -0.9841345E+00
   0.8755625E+01  0.9210581E+00 -0.9919330E+00
   0.8805600E+01  0.9209613E+00 -0.9997322E+00
   0.8855575E+01  0.9208652E+00 -0.1007532E+01
   0.8905550E+01  0.9207697E+00 -0.1015333E+01
   0.8955525E+01  0.9206746E+00 -0.1023135E+01
   0.9005500E+01  0.9205797E+00 -0.1030938E+01
   0.9055475E+01  0.9204851E+00 -0.1038742E+01
   0.9105450E+01  0.9203904E+00 -0.1046546E+01
   0.9155425E+01  0.9202956E+00 -0.1054351E+01
   0.9205400E+01  0.9202007E+00 -0.1062156E+01
   0.9255375E+01  0.9201054E+00 -0.1069962E+01
   0.9305350E+01  0.9200097E+00 -0.1077767E+01
   0.9355325E+01  0.9199136E+00 -0.1085572E+01
   0.9405300E+01  0.9198169E+00 -0.1093376E+01
   0.9455275E+01  0.9197196E+00 -0.1101179E+01
   0.9505250E+01  0.9196216E+00 -0.1108981E+01
   0.9555225E+01  0.9195230E+00 -0.1116780E+01
   0.9605200E+01  0.9194237E+00 -0.1124577E+01
   0.9655175E+01  0.9193238E+00 -0.1132372E+01
   0.9705150E+01  0.9192232E+00 -0.1140163E+01
   0.9755125E+01  0.9191221E+00 -0.1147950E+01
