  0.10000000   -0.9511295930E-16    0.1291814513E-01
  0.11000000    0.2067479377E-15    0.1571038452E-01
  0.12000000    0.4217201990E-16    0.1879678543E-01
  0.13000000    0.5771487063E-15    0.2217289291E-01
  0.14000000    0.6807332783E-14    0.2582149189E-01
  0.15000000   -0.1059607569E-15    0.2970795767E-01
  0.16000000   -0.1091851167E-15    0.3377722130E-01
  0.17000000   -0.2632619131E-16    0.3795346259E-01
  0.18000000   -0.1810246568E-15    0.4214299421E-01
  0.19000000   -0.3313660532E-15    0.4623992069E-01
  0.20000000   -0.1815834482E-15    0.5013340447E-01
  0.21000000   -0.1640939489E-15    0.5371505374E-01
  0.22000000    0.8783869533E-16    0.5688514109E-01
  0.23000000   -0.7146112807E-16    0.5955688829E-01
  0.24000000   -0.2221414332E-16    0.6165865923E-01
  0.25000000   -0.1610541872E-16    0.6313434342E-01
  0.26000000   -0.1200510694E-15    0.6394243689E-01
  0.27000000    0.5605958823E-15    0.6405450011E-01
  0.28000000   -0.5766417838E-15    0.6345258570E-01
  0.29000000   -0.3071335705E-16    0.6212791937E-01
  0.30000000   -0.2007992649E-15    0.6007859586E-01
  0.31000000    0.1973630448E-15    0.5730799751E-01
  0.32000000   -0.6613285743E-16    0.5382344288E-01
  0.33000000   -0.9842620786E-15    0.4963508768E-01
  0.34000000    0.1216164310E-14    0.4475506713E-01
  0.35000000   -0.1117867068E-14    0.3919683449E-01
  0.36000000   -0.4129564786E-14    0.3297467172E-01
  0.37000000   -0.6396082176E-15    0.2610333103E-01
  0.38000000   -0.9973041677E-14    0.1859778234E-01
  0.39000000    0.9707681076E-16    0.1047304259E-01
